id,position,timestamp,direction,speed,class
1,"(174, 535)",03/04/2021 11:48:45,2,20.86,2
2,"(1055, 604)",03/04/2021 11:48:49,1,28.85,2
3,"(891, 568)",03/04/2021 11:48:56,1,18.53,2
